Bill_No,F_TASTE,F_PRESENT,F_TEMPERA,S_QUALITY,S_COURTESY,S_PROMPTNE,A_REMARKS,COUNTRY,TABLE_NO,SALE,excellent,worse,awesome,good
138,1,1,2,1,1,2,Everything Is Good As Compose To Last Year,India,34,13975,FALSE,FALSE,FALSE,TRUE
139,1,1,1,1,1,2,Service Is Very Slow,India,27,12084,FALSE,FALSE,FALSE,FALSE
140,1,1,3,1,1,1,All Was Too High Rest Everything Was Good,India,15,1005,FALSE,FALSE,FALSE,TRUE
141,1,1,1,1,1,1,Perfect Place,India,36,19816,FALSE,FALSE,FALSE,FALSE
142,2,1,1,1,1,2,Veg Sizzlers Need Tube Improved Cheese Was Very Heavy,India,39,17815,FALSE,FALSE,FALSE,FALSE
143,2,1,1,1,1,1,Chili Hakka Noodles Was Thick Served Cold Not Already Spoke To Chef,India,49,4392,FALSE,FALSE,FALSE,FALSE
144,1,1,1,1,1,1,He Must Be Served It With Drink,India,16,15310,FALSE,FALSE,FALSE,FALSE
145,1,2,3,1,1,1,Great Hospitality,India,47,11834,FALSE,FALSE,FALSE,FALSE
146,1,1,2,2,1,1,Make The Food A Bit Len Heavy,India,6,2821,FALSE,FALSE,FALSE,FALSE
147,1,2,1,1,2,1,Ambience In Excellent Hard Formatted Prompted Again,India,27,18797,TRUE,FALSE,FALSE,FALSE
148,1,1,1,1,1,1,Yes Took Good,India,29,15140,FALSE,FALSE,FALSE,TRUE
149,2,1,1,1,1,1,Please Improve The Preparation Of Cheese Balls They Have A Smell Of Egg Which Was Not Though Case,India,22,9334,FALSE,FALSE,FALSE,FALSE
150,1,1,1,1,1,1,Good ,India,25,10029,FALSE,FALSE,FALSE,TRUE
151,1,1,1,1,1,1,Too Good Fully Satisfied,India,25,19450,FALSE,FALSE,FALSE,TRUE
152,3,1,1,1,1,1,The Miss Meat Bill Is Not Original The Had Liver Kindelay Based Sizzler,India,34,4868,FALSE,FALSE,FALSE,FALSE
153,1,1,1,1,1,1,Excellent,India,1,1015,TRUE,FALSE,FALSE,FALSE
154,1,1,1,1,1,2,Keep It Up,India,31,18729,FALSE,FALSE,FALSE,FALSE
155,1,1,1,1,1,1,The Meringue On The Baked Alaska Was Not Done As It Should,India,22,12462,FALSE,FALSE,FALSE,FALSE
156,1,1,1,1,1,1,Great Food Amazing Service,India,33,12161,FALSE,FALSE,FALSE,FALSE
157,1,1,2,1,1,1,U Gees Rock Eye Luv You,India,28,7396,FALSE,FALSE,FALSE,FALSE
158,1,1,1,1,1,1,Keep It Up U R Liming Up To Yours Famous Image,India,23,13948,FALSE,FALSE,FALSE,FALSE
159,1,1,2,1,1,1,The Food Was Really Mood,India,25,12170,FALSE,FALSE,FALSE,FALSE
160,1,2,2,1,1,2,The Baked Was Unplaced Quality All Was Much Better The Second Time,India,34,7184,FALSE,FALSE,FALSE,FALSE
161,2,3,1,2,1,1,Satisfactory,India,22,9560,FALSE,FALSE,FALSE,FALSE
162,1,2,1,1,1,1,Over All Good Food,India,8,5691,FALSE,FALSE,FALSE,TRUE
163,1,1,1,1,1,1,I Have Been Coming Here For Over 40 Years,India,16,15579,FALSE,FALSE,FALSE,FALSE
164,1,1,1,1,1,1,Ks Ion The Past We Have Enjoyed Every Moments,India,14,1142,FALSE,FALSE,FALSE,FALSE
165,1,1,1,1,1,1,Quality Of Everything Is Very Good,India,30,19619,FALSE,FALSE,FALSE,TRUE
166,1,1,1,1,1,1,Very Good Overall Service Keep It Up,India,38,192,FALSE,FALSE,FALSE,TRUE
167,1,1,1,1,1,1,Really Enjoyed Ply Give Carpet ,India,4,10505,FALSE,FALSE,FALSE,FALSE
168,1,2,1,1,1,1,Gulag Jarmon Ki Size Bade Hai Par Tasty Nashi Hai,India,7,13024,FALSE,FALSE,FALSE,FALSE
169,1,1,1,1,1,1,Very Good,India,33,14106,FALSE,FALSE,FALSE,TRUE
170,1,1,1,1,1,1,Keep Up The Good Work ,India,16,10248,FALSE,FALSE,FALSE,TRUE
171,1,1,1,1,1,1,Keep Up The Good,India,32,1622,FALSE,FALSE,FALSE,TRUE
172,2,1,1,1,1,1,Ok Not To Bad,India,11,16763,FALSE,FALSE,FALSE,FALSE
173,1,1,1,1,2,1,Very Good Perhaps You Can Do Better With The Naan Bread Quality,India,8,544,FALSE,FALSE,FALSE,TRUE
